company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Absolute Software,Canada,"  The ideal UX Designer will have experience designing functional applications for the web, mobile, and/or desktop, with a particular focus on Data Viz and…",ui ux designer,Senior UX Designer,full-time,"Remote in Vancouver, BC",2022-07-17,3.4,
Mistplay,Canada,  Train junior-mid level graphic designers and UX/UI designers in user experience fundamentals. Reviewing junior-mid designers’ work to ensure high quality.,ui ux designer,Product Designer (Remote),full-time,"Remote in Montréal, QC",2022-07-17,,
Laurentian Bank,Canada,"  You will collaborate with a brilliant team of UX/UI designers, Product Owners, Marketing/Brand specialists, developers, QA analysts and Technology partners to…",ui ux designer,Webmaster,full-time,"Toronto, ON",2022-07-21,3.6,
i-Open Technologies,Canada,"  Work with UX designers to create simple UI/UX design and mock-ups to communicate with clients, developers, and the Project Manager.",ui ux designer,Jr. Project Manager / Coordinator,full-time,"Abbotsford, BC",2022-07-17,3.3,
Cook-it,Canada,"  Relevant de la Responsable de création, le·la lead designer assurera diverses tâches de création, d’animation, de UX et de branding pour nos projets web et…",ui ux designer,"Lead Designer, Montréal",full-time,"Remote in Montréal, QC",2022-08-11,4.6,
Healthcare Consultancy Group,Canada,"  5-7+ years of agency experience as a UI/UX designer or Digital Strategist. Ability to lead UI designers in their work, and take on the challenge yourself as…",ui ux designer,User Experience Specialist,full-time,"Toronto, ON",2022-07-17,,
BRP,Canada,"  As an eCommerce UX-UI designer, you will be able to demonstrate your talents and enjoy working on a wide variety of eCommerce initiatives in a fast paced and…",ui ux designer,Designer UX-UI eCommerce,,"Montréal, QC",2022-07-17,3.8,
Royal Bank of Canada,Canada,"  You will tackle real RBC Wealth Management business challenges working as a member of a diverse group which includes business partners, Data scientists,…",ui ux designer,DevOps Developer,full-time,"Toronto, ON",2022-08-13,4.0,
"Tivix, Inc.",Canada,  You will bring life to your designs by preparing prototypes to show the behavior of elements and interactions between components to help clients and developers…,ui ux designer,Senior UI/UX Product Designer,full-time,Remote,2022-07-17,,
Qualicom Innovations,Canada,"  Collaborate with Project manager, Business Analysts, UX designers, Solution Architects, Product Owner, as well as other members of the application team.",ui ux designer,Programmer / Analyst Programmer,,"Toronto, ON",2022-07-20,3.5,
Canucks Sports &amp; Entertainment,Canada,"  The Creative Director will work closely with the Content Director, Brand Manager, and Corporate Partnerships team while overseeing a design team that includes…",ui ux designer,Creative Director,full-time,"Vancouver, BC",2022-07-20,4.1,
Milk Moovement,Canada,"  The ideal candidate should have a passion for designing products that ultimately make user’s workflows simple, fast, and efficient. The rest is up to you.",ui ux designer,Product Designer (Remote),full-time,"Remote in Toronto, ON",2022-07-17,,
Bombardier,Canada,"  Under the guidance of the Product Design Lead as well as the project’s Product Owner (PO), the UI Designer will take ownership of UI design initiatives and…",ui ux designer,Senior Digital Products UX/UI Designer,full-time,"Dorval, QC",2022-08-11,3.8,
Sentaca,Canada,"  We’re looking for a critical thinker that enjoys playing with new technologies, solving complex problems and confidently brings their unique voice and…",ui ux designer,Senior UX Designer &amp; Front-End Developer,,"Toronto, ON",2022-07-17,,
Ubisoft,Canada,  Work (very) closely with UX designers to visually communicate the path they’ve laid out. Partner with the brand and art directors to grasp the game’s visual…,ui ux designer,UI Artist,full-time,"Montréal, QC",2022-07-17,3.8,
Neo Financial,Canada,"  You will work directly with designers, researchers, product managers, and engineers to define, shape, and deliver a multitude of experiences across various…",ui ux designer,"Manager, Product Design",full-time,"Winnipeg, MB",2022-07-28,3.9,
DNEG,Canada,"  The UX team at DNEG is a lean group of multidisciplinary UX designers with a blend of research, writing, interaction, and visual design skills.",ui ux designer,Senior UX Designer,,"Vancouver, BC",2022-07-17,3.1,
Tiller Digital,Canada,"  Collaborate with project managers, brand strategists, designers, and other developers on web projects. Conduct research and test ideas to determine technical…",ui ux designer,Intermediate Front-End Developer,full-time,"Calgary, AB",2022-07-17,,
Informco,Canada,  Strong application designer/developer with front-end UX/UI experience. NET web services and MS SQL database development experience.,ui ux designer,Web - Microsoft Web / App Developer,,"Toronto, ON",2022-07-17,3.0,
Novatek International,Canada,"  The corporation is currently building a new suite of software solutions intended for the Pharmaceutical industry, using the latest available technology and…",ui ux designer,Senior Angular UI Developer,full-time,"Montréal, QC",2022-07-17,,
TELUS,Canada,"  Job Function: Product Management &amp; UX/UI Design. We build smart, customer-centric and data-driven experiences for telus.com, TELUS.com/business and the My TELUS…",ui ux designer,Product Owner - Intermediate (My TELUS Mobility) | TELUS Dig...,full-time,"Toronto, ON",2022-07-17,3.9,
CGI Inc,Canada,  This is a client-facing role for someone who is detail oriented and understands the importance of technology as a tool to help improve business outcomes.,ui ux designer,Business Analyst,full-time,"St. John's, NL",2022-07-17,3.6,
Gryphtech,Canada,"  Configure and develop custom components with technology partners (analysts, developers, designers etc.) to meet requirements and goals.",ui ux designer,Full Stack Developer (Full-Time All Levels of Experience),full-time,"Mississauga, ON",2022-08-07,,
SOTI Inc.,Canada,  You will report to the VP of Product Management and will be primarily responsible for crafting the design vision for our product experience and managing UI/UX…,ui ux designer,"Sr. Manager, Product Design",full-time,"Mississauga, ON",2022-07-17,3.1,
Deloitte,Canada,  Has 3+ years of experience in a design leadership role managing designers. Guide designers to deliver desirable visual concepts – Provide oversight to produce…,ui ux designer,"Manager - Visual Analytics &amp; Information Design, Omnia AI",,"Toronto, ON",2022-07-17,3.9,
MEDCAN,Canada,"  As a multimedia designer, you will be working closely with our in-house creative and CRM team to design and produce high-end visual, textual, and animated…",ui ux designer,Senior Multimedia Specialist,full-time,"Hybrid remote in Toronto, ON",2022-07-17,2.9,
