company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
U.S. Bank,USA,  U.S. Bank participates in the U.S. Department of Homeland Security E-Verify program in all facilities located in the United States and certain U.S. territories.,product manager,Group Product Manager - Open on Location,undefined,+3 locationsRemote,2022-07-17,3.6,120870-142200
Verizon,USA,"  Verizon provides reasonable accommodations consistent with legal requirements (e.g., for medical or religious reasons).",product manager,Senior Manager - Product Sales,undefined,"Lone Tree, CO 80124+25 locations",2022-08-13,3.9,127100-236000
Spirent Communications,USA,  The Senior Product Manager has first-line responsibility for driving and executing the strategy for Spirent's best-in-class RF Channel Emulation and ORAN…,product manager,Senior Product Manager,full-time,"Plano, TX+1 location",2022-07-17,3.6,
Applied Industrial Technologies,USA,"  Bachelor's degree in business, engineering, sales, or marketing related fields. Participate in overall product strategy, research and development requirements.",product manager,Product Manager,,"Cleveland, OH 44115 (Goodrich-Kirkland Park area)",2022-08-14,3.2,
American Family Insurance,USA,"  Identifies, develops and implements underwriting, pricing, and product recommendations to support profitability and growth goals for assigned states.",product manager,California State Product Manager (Open to Remote),undefined,"Remote in Madison, WI 53774",2022-07-17,3.6,103500
"Accolade, Inc.",USA,"  Develop data-driven mechanisms (dashboards, metrics, models) to support the measurement of Accolade’s value proposition and opportunity to enhance value through…",product manager,Senior Product Manager,full-time,"Seattle, WA 98101 (Downtown area)",2022-07-17,3.0,
Tetrate,USA,"  Excellent communication skills to draw out information from the developers, especially about the underlying assumptions that our products make about the…",product manager,Product Documentation Manager,,Remote,2022-07-17,,
"MANSCAPED, Inc",USA,"  Manage existing products by working closely with manufacturers and internal teams to ensure product specifications, quality, production capacity and delivery…",product manager,Product Manager - Hard Goods,,+1 locationRemote,2022-07-17,3.3,
Hawksearch,USA,"  Measure, analyze and present reports on product performance including trials, conversions, and other metrics as needed to support the product launches.",product manager,Assistant Product Manager,,"Chicago, IL",2022-07-17,5.0,
Technomile,USA,  5+ years of software product management experience for a software product company. Responsible for driving the vision and requirements of our product roadmap.,product manager,Product Manager,,"McLean, VA 22102",2022-07-17,4.0,
Google,USA,  You'll also work closely with senior Googlers in support of your product. Experience driving elements of the product development lifecycle such as product…,product manager,Senior Product Manager,full-time,"Mountain View, CA+6 locations",2022-07-17,4.3,
RELX,USA,  Meaningfully contributes to development and execution of the product strategy. Have 2 plus years of both website and product management experience.,product manager,"Web Product Manager, Cell Press",full-time,"Cambridge, MA",2022-07-22,4.0,
NCR,USA,"  Accountable for all program team metrics, including schedules, cost, quality, market share and end customer satisfaction. Bachelor’s degree in Engr preferred.",product manager,Product Manager,full-time,"Atlanta, GA+5 locations",2022-07-17,3.5,
