company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Salad technologies,USA,  Possess skills necessary to apply agile methodologies in day to day activities. Proficiency designing and developing highly scalable services using microservice…,software engineer,Backend Engineer - SaladCloud,undefined,Remote,2022-07-17,,130000-170000
C2S Techs,USA,"  Perform repeatable testing procedures and processes., stored procedures, referential integrity, and hardware product or system specifications.",software engineer,Software Test Engineer 1(Manual),,"Redmond, WA",2022-07-17,,
Circonus,USA,  We write software mostly in C and C++. Assist in supporting both the internal development and external use of Circonus software.,software engineer,Remote Software Engineer – (C/C++),full-time,"Remote in Malvern, PA",2022-07-17,2.7,
Dassault Falcon Jet,USA,  Provide MIS management and Project Management with rough order of magnitude (ROM) estimates and clear status for software engineering activities.,software engineer,Software Engineer I,full-time,"Little Rock, AR 72202 (Bill and Hillary Clinton National Airport area)",2022-07-17,3.6,
Spotnana Technology,USA,  Experience with backend distributed server side development in a cloud native stack building frameworks for consumption.,software engineer,Software Engineer - Backend,,"Remote in San Francisco, CA+1 location",2022-07-17,,
Starlight Software Solutions,USA,"  And be involved in all aspects of the software development lifecycle including technical design,. Comfort with and understanding of version control (git), JIRA,…",software engineer,Senior Software Engineer,full-time,"Denver, CO 80221+1 location",2022-08-16,,
Kandji,USA,"  Develop intuitive, robust, and scalable software designed to handle high-volume use cases. Work closely with other engineers to create and implement features…",software engineer,Mid-level Software Engineer,full-time,+1 locationRemote,2022-07-17,,
Arcadia,USA,"  Work with build/release engineering, QA, and support to ensure all aspects of a project are well documented, tested, and supported.",software engineer,"Software Engineer, Delivery",,"Remote in Washington, DC+1 location",2022-08-11,3.7,
In-Depth Engineering Corporation,USA,  Utilize modern software automation tools in agile environment to develop combat system software. Our projects include development and support of the AEGIS…,software engineer,"Software Engineer - Columbia, MD",undefined,"Columbia, MD 21046+4 locations",2022-08-09,4.2,70000-150000
Podium Infotech,USA,"  Knowledge of professional software engineering practices &amp; best practices for full software development life cycle, including coding standards, code reviews,…",software engineer,Software Development Engineer - Test,on call,Remote,2022-07-17,,
"JPMorgan Chase Bank, N.A.",USA,"  Participate in a digital technology project from concept to implementation, and through all phases of the software development lifecycle.",software engineer,Mobile Software Engineer - iOS,full-time,"Chicago, IL+6 locations",2022-08-13,3.8,
"Software Solutions Integrated, LLC",USA,"  Preferred experience in writing software in one or more languages such as C#, Python, JavaScript or similar. You will plan and configure cloud solutions, create…",software engineer,DevOps Engineer,,"Shelbyville, IL 62565",2022-08-16,,
Textron Aviation,USA,"  Constructs an application by developing program source code, execution control procedures and test data to provide a functioning information system.",software engineer,2023 Entry Level - Developer,full-time,"Wichita, KS+1 location",2022-08-16,4.0,
Midigator,USA,You will be solving problems related to building streaming data services and creating scalable cloud-based software.,software engineer,Software Engineer,full-time,+1 locationRemote,2022-07-17,4.5,
Afresh,USA,At least 3+ years of professional software engineering experience. Build out our backend data and machine learning platform as well as supporting tooling to…,software engineer,Software Engineer - Platform,,+2 locationsRemote,2022-07-17,,
"HX5, LLC",USA,"Two (2) years of DoD avionics, software or test experience. Must be a US Citizen and successfully complete a U.S. government background investigation.",software engineer,Software Engineer,full-time,+3 locationsRemote,2022-07-17,4.2,
Delta Mobile Systems,USA,Utilize best software development and test practices. Develop C/C++/Java/Android applications for wireless products.,software engineer,Entry Level Software Engineer,,"Elgin, IL 60123+1 location",2022-07-17,,
O'Reilly Media,USA,"Our senior engineers use their experience and expertise to mentor other engineers, lead projects to the finish line, and collaborate with other teams and…",software engineer,Sr Software Engineer (Frontend),,Remote,2022-07-19,3.5,
NCR,USA,"Passion for developing clear, robust, testable software. Build high-performing, scalable applications that enable an optimal consumer experience.",software engineer,Software Engineer II,full-time,"Atlanta, GA+34 locations",2022-07-17,3.5,
Salesforce,USA,"Work closely with a team of engineers, product managers, user experience experts, and performance engineers to build new features our customers will love, adopt…",software engineer,Principal Frontend Software Engineer,undefined,+21 locationsRemote,2022-08-16,4.4,150000
Mineral,USA,Commitment to quality and the craft of software development. Build and maintain scalable and high-quality production-level services.,software engineer,Software Engineer,full-time,+1 locationRemote,2022-07-17,4.8,
GetUWired,USA,"GetUWired’s junior web developers work with our project managers and other developers to update, maintain and craft custom websites.",software engineer,Junior Web Developer,full-time,+1 locationRemote,2022-07-17,4.0,
United Launch Alliance,USA,"Will act as a hands-on developer to deliver operational and enabling capabilities designed to meet real-time requirements for embedded flight control, ground…",software engineer,Software Engineer 1,,"Denver, CO+4 locations",2022-07-17,3.6,
ULA,USA,"Will act as a hands-on developer to deliver operational and enabling capabilities designed to meet real-time requirements for embedded flight control, ground…",software engineer,Software Engineer 1,,"Denver, CO+4 locations",2022-07-17,3.7,
Realign LLC,USA,"Working knowledge with Python/ Java/PySpark (PySpark is optional). Working knowledge of DevOps, CI-CD tooling, and practices.",software engineer,Python / DevOps Engineer,contract,"Remote in New York, NY",2022-08-12,,
Healthmap Solutions,USA,Minimum of 5 plus years working as a professional UI developer/software engineer. Healthmap Solutions uses clinical big data resources and high-powered…,software engineer,Full Stack Software Engineer,full-time,Remote,2022-07-17,3.4,
"eDist - A Division Of A.I. Smarter World, Inc.",USA,Full stack software engineer skills. 7+ years of professional software development experience. Strong oral and written communication skills.,software engineer,Senior PHP Software Engineer,undefined,Remote,2022-07-18,2.9,100000-130000
Ford Motor Company,USA,"As part of the Ford family, you will enjoy excellent compensation and a comprehensive benefits package that includes generous PTO, retirement, savings and stock…",software engineer,Software Test Engineer,,Remote in Michigan+1 location,2022-08-09,4.1,
Western Digital,USA,  An employee’s pay position within the salary range may be based on several factors including but not limited to (1) relevant education; qualifications;…,software engineer,"New College Grad Engineer, Enterprise HDD Firmware Developme...",full-time,"Remote in Irvine, CA",2022-07-21,3.8,
Deephaven Data Labs,USA,  Interest in learning about and understanding complex software systems. Some experience with database software. Teach clients how to use our technology.,software engineer,Customer-Facing Software Engineer,,"Remote in New York, NY 10016",2022-07-17,,
Honey,USA,"  We have great benefits including a flexible work environment, employee shares options, health and life insurance and more.",software engineer,Software Engineer - Gold XP,full-time,"Los Angeles, CA+10 locations",2022-07-17,,
Delsys Incorporated,USA,  Assist in the design and implementation of software solutions that translate proven research concepts into real-world products in the marketplace.,software engineer,Software Engineer – Back-End,full-time,"Natick, MA 01760",2022-07-17,,
