company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Macquarie Group Limited,AUSTRALIA,"  8 + years design experience with recent, hands on experience as a designer. Collaborate closely with a cross functional team, including your Product Owner,…",ui ux designer,UX/UI Designer,,Sydney NSW,2022-08-05,3.8,
Kmart,AUSTRALIA,  Collaborate with UI designers and developers to ensure design handoff through to UAT is seamless and the integrity of the designs remains at a high standard.,ui ux designer,UI/UX Designer,,Mulgrave VIC,2022-07-17,3.8,
Aglive,AUSTRALIA,  Work with product manager to define product functionality into mobile app and website prototypes. Produce process flows and sitemaps.,ui ux designer,UI UX Designer,,Sydney NSW,2022-07-17,,
Grease Monkey Games,AUSTRALIA,"  Build highly collaborative relationships with key stakeholders, game designers, producer and art directors to set design priorities and find balanced solutions…",ui ux designer,UI/UX Designer (Senior) - Full Time,full-time,Brunswick VIC,2022-07-30,,
Canva,AUSTRALIA,"  Our product designers carry out research, brainstorming, sketching, prototyping, and collaboration with our engineers to ship great products.",ui ux designer,Product Designer,full-time,Remote in Brisbane QLD+1 location,2022-07-17,3.8,
Suncorp Group,AUSTRALIA,"  As a UX Designer, you will be responsible for delivering best in class user experience and design across Suncorp Bank’s key digital assets including mobile, web…",ui ux designer,UX Designer,permanent,Brisbane QLD,2022-08-12,3.5,
City West Water,AUSTRALIA,"  The Senior User Experience (UX) Designer is responsible for leading the research and analysis, planning and architecture of the overarching user experience…",ui ux designer,Senior UX Designer,undefined,Temporarily Remote in Footscray VIC,2022-08-12,3.4,117000-127000
ANZ Banking Group,AUSTRALIA,  Some visual designers focus on non-digital touchpoints such as print or environmental communications. You will coach other designers and project/team members in…,ui ux designer,Experience Designer,,Melbourne VIC,2022-08-12,4.1,
Sportsbet,AUSTRALIA,  As a User Experience Designer (UXD) you will have an unhealthy obsession with the customer and will tackle complex problems and transform them into designs that…,ui ux designer,UX Designer,full-time,Melbourne VIC,2022-08-13,2.8,
Cordelta,AUSTRALIA,"  Designers are expected to consider the project from a high-level and how it fits in to an overall service, but also the fine details of the user interface…",ui ux designer,Visual Designer,,Canberra ACT,2022-07-17,,
Local Peoples,AUSTRALIA,  Do you have a minimum of 4 years experience in consulting or government role. Local Peoples is a strategic research and design studio based in Melbourne and…,ui ux designer,Service Designer,contract,Remote in Canberra ACT,2022-07-17,,
Infosys,AUSTRALIA,  Work with UI designers so they can move from medium to high fidelity. We hold fortnightly sprint planning sessions where each designer works with the POs and…,ui ux designer,UX/UI Developer,,Sydney NSW,2022-08-02,3.9,
TPG Telecom,AUSTRALIA,"  The UX/UI Designer role has a strong focus on e-commerce, conversion, experimentation &amp; optimisation to work within the Conversion Rate Optimisation (CRO) team…",ui ux designer,UX/UI Designer - Optimization,permanent,Remote in North Sydney NSW,2022-07-17,3.3,
Bupa,AUSTRALIA,"  Significant exposure to working and collaborating with other designers and front-end development teams. Reporting to the Experience Designer Team Lead, these…",ui ux designer,UX/UI Designer,full-time,Remote in Victoria,2022-07-17,3.3,
Fivecast,AUSTRALIA,  Globally recognised start-up with opportunities for progression. Minimum NV1 Defence clearance or eligibility to acquire one is mandatory (requires Australian…,ui ux designer,UX Designer,undefined,Adelaide CBD SA 5000,2022-07-25,,64
