company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
CBRE,AUSTRALIA,"  Review and evaluate collected research data ensuring consistency and accuracy. Ability to source data, analyse trends, create insights, and present results…",data analyst,Senior Research Analyst,full-time,Melbourne VIC,2022-08-10,3.7,
Link Group,AUSTRALIA,"  The purpose of this role is to provide high quality business analysis and business requirements for organisational change, projects and enhancements and to…",data analyst,Business Analyst,,Parramatta NSW 2150,2022-08-03,2.7,
Seven West Media,AUSTRALIA,"  Gain domain expertise in all things data, and tackle problems using data driven solutions. Join the Seven West Product and Technology division, where you will…",data analyst,Senior Data Analyst,,Perth WA,2022-07-26,3.9,
Mott MacDonald,AUSTRALIA,  Take part in geospatial data management presentations and training activities for internal users on geospatial data platforms.,data analyst,GIS Analyst,full-time,Brisbane QLD,2022-07-30,3.9,
Nixil,AUSTRALIA,"  Hands-on business and data analysis in complex business operations, technology, and data architectures. Defining and communicating business data flow.",data analyst,Business Data Analyst,undefined,Melbourne VIC,2022-07-17,,110000-130000
Nixil,AUSTRALIA,"  Work with business units to understand credit risk related data elements, including identification of relevant reference data, metadata and data lineage.",data analyst,SAS Analyst,undefined,Australia,2022-07-17,,110000-130000
Endeavour Group,AUSTRALIA,"  Exposure to data governance, data information security practices, and cloud databases. Support the delivery of data governance across Endeavour and work with…",data analyst,Data Governance Analyst,,Remote in Sydney NSW,2022-07-17,3.5,
Epicon,AUSTRALIA,"  Understanding of data manipulation, database construction and usage. The Business Analyst is responsible for the study, review and redesign of business…",data analyst,Business Analyst,permanent,Hybrid remote in Canberra ACT,2022-08-16,,
Bankwest,AUSTRALIA,  An understanding of data warehouse/dimensional and relational data structures. Design appropriate data models to fit within our reference architecture.,data analyst,Business Intelligence Analyst,full-time,Melbourne VIC,2022-08-12,3.5,
De Beers Group of Companies,AUSTRALIA,  Developing an expertise in a particular discipline or business area and share market insight and data to assist Hiring Managers to make informed decisions.,data analyst,Talent Acquisition Operations Analyst,contract,Brisbane QLD 4000,2022-08-05,,
Bank of Queensland,AUSTRALIA,"  Furthermore, you will support operations of the data management framework which includes data principles, policy, standards and guidelines ensuring their…",data analyst,Senior Data Management Analyst,full-time,Brisbane QLD,2022-08-09,3.5,
Macquarie Group Limited,AUSTRALIA,  Providing data to show progress to key stakeholders (including Product Managers and other functions within the data ecosystem).,data analyst,Data Quality and Controls Analyst,permanent,Sydney NSW,2022-07-17,3.8,
Australian Government Department of Defence,AUSTRALIA,"  Desirable post graduate qualifications in information or data management or computer science or finance. The Research Information Finance Analyst, with limited…",data analyst,APS 6 (S&amp;T Level 4) - Research Information Finance Analyst,undefined,Edinburgh SA,2022-08-04,4.1,83928-95873
Enterprise IT Resources Pty Ltd,AUSTRALIA,"  Working closely within data integration and data team environments. The opportunity will evolve, improve, and extend existing data centric solutions, plus…",data analyst,Data Business Analyst - Major Programs,undefined,Sydney Central Business District NSW,2022-08-13,,850-940
John Holland,AUSTRALIA,  Assist in the development and maintenance of HSC data models to ensure data integrity. O Identifying and driving energy strategies and carbon reduction programs…,data analyst,"Health, Sustainability and Climate Analyst",,Melbourne VIC 3000,2022-08-10,3.8,
