company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Air Miles,Canada,Develop moderate complexity to highly complex software solutions in support of business requirements and in accordance with predetermined software solution…,software engineer,Software Engineer,full-time,Temporarily Remote,2022-07-20,3.5,
Makeship,Canada,Experience with creating software documentation. You have a degree in Computer Science or Engineering and have at least 2 years of relevant work experience.,software engineer,Junior Software Developer,full-time,"Remote in Vancouver, BC",2022-08-11,,
Aviya Aerospace Systems,Canada,Participate in software design decisions against product and software requirements. Perform review and testing of software.,software engineer,Junior Software Engineer,full-time,"Mississauga, ON",2022-07-17,,
ServiceNow,Canada,Design software that is simple to use to allow customers to extend and customize the functionality to meet their specific needs.,software engineer,Staff Software Engineer,full-time,"Remote in Vancouver, BC",2022-08-13,3.6,
Vizzion,Canada,Computer and Technology Knowledge Cloud C++ HTML Java JavaScript Object-Oriented programming languages .NET C# SQL Programming languages ASP.NET Work…,software engineer,"engineer, software",undefined,"North Vancouver, BC",2022-08-06,,25-50
Intel,Canada,Experience listed below would be obtained through a combination of your school work/classes/research and/or relevant previous job and/or internship experiences.,software engineer,FPGA Software Engineer,full-time,"Hybrid remote in Toronto, ON",2022-07-17,4.1,
Snowflake,Canada,"How to build enterprise grade, reliable, and trustworthy software/services. Required coursework: algorithms, data structures, software engineering, and…",software engineer,Software Engineer (University Graduate) - Toronto,full-time,"Toronto, ON",2022-07-17,,
Universal Softwares Inc.,Canada,"Assess, troubleshoot, document, upgrade and develop maintenance procedures for operating systems, communications environments and applications software.",software engineer,SOFTWARE ENGINEER,undefined,"Abbotsford, BC",2022-07-17,,53.25
FDM Group,Canada,"As a Software Developer your main role will be to solve problems, upgrade existing systems and improve efficiency for the overall success of large software…",software engineer,Toronto - Junior Software Developer,contract,"Toronto, ON",2022-07-17,3.0,
FDM Group,Canada,As a Junior Cloud Computing Engineer you will gain invaluable hands-on experience while helping large organizations make the shift from traditional IT methods…,software engineer,Toronto - Junior Cloud Computing Engineer,contract,"Toronto, ON",2022-07-17,3.0,
Honeywell,Canada,Experience working in embedded software architectures. Experience working in embedded software architectures. Aid in the design and development of equipment and…,software engineer,Advanced Software Engineer,,"Kanata, ON",2022-08-12,3.7,
KPMG,Canada,"Bachelor’s in computer science, Software Engineering, or related disciplines. Provide recommendations on how software can enhance user experience.",software engineer,Jr. Software Engineer - Lighthouse,full-time,"Toronto, ON",2022-07-17,3.9,
Delta Controls,Canada,"Bachelor’s degree in computer science, data science, mathematics, engineering, or a related field. Contribute to system design and software architecture.",software engineer,Junior Developer - Co-op,full-time,"Surrey, BC",2022-08-16,3.9,
Amazon Dev Centre Canada ULC,Canada,We require our full-time software developers to be able and willing to mentor exceptionally capable young developers. Ability to work min 16 hours week.,software engineer,Jr. Software Dev Engineer,full-time,"Vancouver, BC+1 location",2022-07-17,3.5,
Synthesis Systems Inc.,Canada,"  Research and evaluate a variety of software products. Write, modify, integrate and test software code. Prepare reports, manuals and other documentation on the…",software engineer,software developer,undefined,"Toronto, ON",2022-08-13,,95000-130000
International Road Dynamics Inc,Canada,"  Create system software from existing base software packages based on approved software designs including appropriate scripts, make files, configuration files,…",software engineer,Junior Software Developer,full-time,"Saskatoon, SK",2022-08-10,3.1,
Intellifi Corporation,Canada,  Work with internal stakeholders on development strategy and execution plans while meeting the functional requirements of the business.,software engineer,Software Developer (Co-op/Intern Sept-Dec 2022),full-time,"Vancouver, BC",2022-08-16,,
Alpha Ministries Canada,Canada,"  Experience with enterprise software and the needs of software at scale. At least 3 years of hands-on, professional development experience, ideally in an…",software engineer,Software Engineer,full-time,"Remote in New Westminster, BC",2022-08-16,,
Apple,Canada,"  Bachelor’s degree in computer science or related field, and equivalent work experience. To deliver such a rich experience at this scale, the engineers build…",software engineer,Software Engineer-App Store,,"Vancouver, BC",2022-07-24,4.1,
Moneris Solutions,Canada,"  Moneris' new early talent program, Start@Moneris, offers permanent, full-time employment that allow you to get a head start on your careers through our unique…",software engineer,Software Developer I,full-time,"Toronto, ON+2 locations",2022-08-12,3.4,
eTeam Incorporated,Canada,"  Assess, troubleshoot, document, upgrade and develop maintenance procedures for operating systems, communications environments and applications software.",software engineer,software engineer,undefined,"Mississauga, ON",2022-08-10,,153600
